object,object_base,table,address,registers,offset,parameter,access,data_type,fw_3_2,fw_3_3,fw_3_4,description
DHW Tank,6600,DI,6602,1,2,Aggregated error,R,,YES,YES,YES,A critical problem is pending in DHW
DHW Tank,6600,DI,6603,1,3,Warning - cleaning process fail,R,,YES,YES,YES,
DHW Tank,6600,DI,6604,1,4,Error - Tank temp sensor fail,R,,YES,YES,YES,
DHW Tank,6600,DI,6605,1,5,Error - Circulation return temp sensor fail,R,,YES,YES,YES,
DHW Tank,6600,DI,6606,1,6,Error - Source return temp sensor fail,R,,YES,YES,YES,
DHW Tank,6600,DI,6607,1,7,Error - Source inlet temp sensor fail,R,,YES,YES,YES,
DHW Tank,6600,DI,6608,1,8,Warning - Source inlet temp too low,R,,YES,YES,YES,
DHW Tank,6600,DI,6609,1,9,Warning - Peripheral low battery,R,,YES,YES,YES,
DHW Tank,6600,DI,6610,1,10,Error - Peripheral unreachable,R,,YES,YES,YES,
DHW Tank,6600,IR,6601,1,1,Tank - Measured temp,R,val_d2_fp100,YES,YES,YES,Current temperature of the domestic hot water in the tank
DHW Tank,6600,IR,6602,1,2,Tank - Desired temp,R,val_d2_fp100,YES,YES,YES,Desired temperature of the domestic hot water inside the tank (according to sheduler or manual setup). NOTE: The tank temperature is different form the temperature flowing from the tip.
DHW Tank,6600,IR,6603,1,3,Tank - State,R,val_u1,YES,YES,CHANGED,0 OFF 1 IDLE 2 HEATING 3 CLEANING 4 BLOCKED_HEATING 5 BLOCKED_CLEANING 6 FAILURE
DHW Tank,6600,IR,6604,1,4,Tank - Blocking source,R,val_u1,YES,YES,YES,Please check top of the document - GENERAL BLOCKING SOURCES
DHW Tank,6600,IR,6605,1,5,Circulation - State,R,val_u1,YES,YES,YES,0 NONE (disabled) 1 IDLE 2 ON
DHW Tank,6600,IR,6606,1,6,Circulation - Return temp,R,val_d2_fp100,YES,YES,YES,Current temperature of the domestic hot water returning from circulation.
DHW Tank,6600,IR,6607,1,7,Source - Inlet temp,R,val_d2_fp100,YES,YES,YES,Current temperature of the water incoming from the heat source.
DHW Tank,6600,IR,6608,1,8,Source - Return temp,R,val_d2_fp100,YES,YES,YES,Current temperature of the water returning to the heat source.
DHW Tank,6600,HR,6601,16,1,Name,R/W,val_utf8,YES,YES,YES,"String description (32 Bytes, UTF8, NULL terminated)"
DHW Tank,6600,HR,6617,1,17,Mode,R/W,val_u1,YES,YES,YES,0 SCHEDULE 2 ECO Eco = Circulation is disabled
DHW Tank,6600,HR,6618,1,18,Circulation - Cooldown time,R/W,val_u2,YES,YES,YES,"How long the circulation is supressed after is paused due to ""Stop temp difference"""
DHW Tank,6600,HR,6619,1,19,Circulation - Stop temp difference,R/W,val_d2_fp100,YES,YES,YES,"When difference between tank temperature and return temperature from circulation is lower than this value, the circulation pump is switched off."
DHW Tank,6600,HR,6620,1,20,Source - Return temp limit,R/W,val_d2_fp100,YES,YES,YES,"The controller limits the source return temperature according to this value. (used only in ""advanced tank mode"")"
DHW Tank,6600,HR,6621,1,21,Tank - Temp set,R/W,val_d2_fp100,YES,YES,YES,Requested temperature of domestic hot water.
DHW Tank,6600,HR,6622,1,22,Tank - Temp set vacation,R/W,val_d2_fp100,YES,YES,YES,Requested temperature of domestic hot water in Vacation mode
DHW Tank,6600,HR,6623,1,23,Tank - Temp set cleaning,R/W,val_d2_fp100,YES,YES,YES,Requested temperature of domestic hot water during the cleaning process.
DHW Tank,6600,HR,6624,1,24,Tank - Temp set standby,R/W,val_d2_fp100,YES,YES,YES,Requested temperature of domestic hot water in Standby mode
